region_code,province,district,year_month,mbg_beneficiaries,mbg_satpen,sppg_operational_count,sppg_density_per_100k_beneficiaries,nutrition_need,nutrition_need_source,poverty_rate,poverty_rate_filled,ikp,ikp_group,food_security_class,food_vulnerability,price_stress,education_exposure,condition_rate_per_1000,allergy_intolerance_rate_per_1000,beneficiaries_per_satpen,support_reach,need_pressure,coverage_gap,socioeconomic_stress,reference_priority_score,priority_label,is_java,is_eastern_indonesia,data_density_group,data_completeness
252800,Papua,Kab. Mamberamo Raya,2026-05,3366,14,0,0.0,0.3,mbg_condition_plus_food_vulnerability_proxy,35.09,35.09,23.09,1.0,Sangat Rentan,1.0,0.5483230932828003,3366,0.0,0.0,240.42857142857142,0.3764969725704564,0.6327413473986084,0.9234818421642154,0.964545190351642,0.7079683937579402,1,0,1,higher-data,0.75
130900,Kalimantan Barat,Kab. Landak,2026-05,54,15,36,66666.66666666666,0.7794623362445415,mbg_condition_plus_food_vulnerability_proxy,8.9,8.9,76.96,6.0,Sangat Tahan,0.26487445414847177,0.53359299465519,54,5074.074074074075,4944.444444444444,3.6,0.38135953025340447,0.5110218114501407,0.8138979044318978,0.20342923568730018,0.5864552197091129,1,0,0,higher-data,0.75
66400,Aceh,Kota Subulussalam,2026-05,0,2,16,0.0,0.22618722707423583,mbg_condition_plus_food_vulnerability_proxy,13.88,13.88,41.12,2.0,Rentan,0.7539574235807861,0.7407043415714181,0,0.0,0.0,0.0,0.1297996738528383,0.43397496347956893,0.9649763239827469,0.3481546062191223,0.5604595031992657,1,0,0,higher-data,0.75
250200,Papua,Kab. Biak Numfor,2026-05,1294,4,0,0.0,0.19503040651068992,mbg_condition_plus_food_vulnerability_proxy,25.73,25.73,49.23,2.0,Rentan,0.6432860262008734,0.5483230932828003,1294,14.683153013910355,14.683153013910355,323.5,0.28648939595149475,0.4419237469919764,0.8362091556995022,0.6925312409183376,0.5372659772456824,1,0,1,higher-data,0.75
210700,Maluku,Kab. Kepulauan Aru,2026-05,716,3,2,279.3296089385475,0.22312760694951683,mbg_condition_plus_food_vulnerability_proxy,23.1,23.1,43.15,2.0,Rentan,0.7262554585152838,0.30247087536912587,716,37.709497206703915,37.709497206703915,238.66666666666666,0.29701538697622176,0.43543836948075226,0.8214821694654674,0.6160999709386806,0.5362548359110129,1,0,1,higher-data,0.75
252000,Papua,Kab. Keerom,2026-05,0,3,0,0.0,0.17259825327510916,mbg_condition_plus_food_vulnerability_proxy,17.76,17.76,54.21,3.0,Agak Rentan,0.5753275109170306,0.5483230932828003,0,0.0,0.0,0.0,0.036777512533436425,0.3685159061170677,0.9888380992233862,0.46091252542865446,0.5192374491139791,1,0,1,higher-data,0.75
210200,Maluku,Kab. Maluku Tenggara,2026-05,0,15,4,0.0,0.19216703056768558,mbg_condition_plus_food_vulnerability_proxy,21.16,21.16,49.43,2.0,Rentan,0.6405567685589519,0.30247087536912587,0,0.0,0.0,0.0,0.1718457057341287,0.388805645698892,0.8894727422953659,0.5597210113339145,0.5168196954528652,1,0,1,higher-data,0.75
61300,Aceh,Kab. Aceh Singkil,2026-05,594,3,17,2861.952861952862,0.229007660679028,mbg_condition_plus_food_vulnerability_proxy,17.07,17.07,46.1,2.0,Rentan,0.6859989082969432,0.7407043415714181,594,166.66666666666666,166.66666666666666,198.0,0.3593059025483636,0.4367956515476929,0.7687313934694102,0.4408602150537634,0.5126995606010364,1,0,0,higher-data,0.75
320200,Papua Barat,Kab. Kaimana,2026-05,0,3,6,0.0,0.1972434497816594,mbg_condition_plus_food_vulnerability_proxy,13.83,13.83,48.19,2.0,Rentan,0.6574781659388647,0.46577281181710606,0,0.0,0.0,0.0,0.11115074386307072,0.36904668311815897,0.9249116252253905,0.3467015402499273,0.5070526185460458,1,0,1,higher-data,0.75
360300,Papua Tengah,Kab. Paniai,2026-05,0,1,0,0.0,0.06611626637554587,mbg_condition_plus_food_vulnerability_proxy,36.31,36.31,,,,0.2203875545851529,0.5978246850429408,0,0.0,0.0,0.0,0.0,0.344631677019578,1.0,1.0,0.4971094384006187,1,0,1,lower-data,0.5
