rank,region_code,province,district,final_priority_score,model_priority_score,reference_priority_score,coverage_gap,nutrition_need,food_vulnerability,socioeconomic_stress,price_stress,sppg_operational_count,mbg_beneficiaries,top_reasons
1,252800,Papua,Kab. Mamberamo Raya,0.706411989037012,0.7055739249565123,0.7079683937579402,0.9234818421642154,0.3,1.0,0.964545190351642,0.5483230932828003,0,3366,kepadatan SPPG rendah relatif terhadap penerima; kerentanan pangan struktural tinggi; tekanan sosial-ekonomi tinggi
2,66400,Aceh,Kota Subulussalam,0.654783877341476,0.7055739249565123,0.5604595031992657,0.9649763239827468,0.2261872270742358,0.7539574235807861,0.3481546062191223,0.7407043415714181,16,0,kepadatan SPPG rendah relatif terhadap penerima; gap cakupan dan dukungan tinggi; tekanan harga pangan tinggi
3,250200,Papua,Kab. Biak Numfor,0.6466661432577218,0.7055739249565123,0.5372659772456824,0.8362091556995022,0.1950304065106899,0.6432860262008734,0.6925312409183376,0.5483230932828003,0,1294,kepadatan SPPG rendah relatif terhadap penerima; gap cakupan dan dukungan tinggi; tekanan sosial-ekonomi tinggi
4,210700,Maluku,Kab. Kepulauan Aru,0.6463122437905875,0.7055739249565123,0.5362548359110129,0.8214821694654674,0.2231276069495168,0.7262554585152838,0.6160999709386806,0.3024708753691258,2,716,kepadatan SPPG rendah relatif terhadap penerima; gap cakupan dan dukungan tinggi; kerentanan pangan struktural tinggi
5,252000,Papua,Kab. Keerom,0.6403561584116256,0.7055739249565123,0.5192374491139791,0.9888380992233862,0.1725982532751091,0.5753275109170306,0.4609125254286544,0.5483230932828003,0,0,kepadatan SPPG rendah relatif terhadap penerima; gap cakupan dan dukungan tinggi; kerentanan pangan struktural tinggi
6,210200,Maluku,Kab. Maluku Tenggara,0.6395099446302358,0.7055739249565123,0.5168196954528652,0.8894727422953659,0.1921670305676855,0.6405567685589519,0.5597210113339145,0.3024708753691258,4,0,kepadatan SPPG rendah relatif terhadap penerima; gap cakupan dan dukungan tinggi; kerentanan pangan struktural tinggi
7,320200,Papua Barat,Kab. Kaimana,0.636091467712849,0.7055739249565123,0.5070526185460458,0.9249116252253904,0.1972434497816594,0.6574781659388647,0.3467015402499273,0.465772811817106,6,0,kepadatan SPPG rendah relatif terhadap penerima; gap cakupan dan dukungan tinggi; kerentanan pangan struktural tinggi
8,61300,Aceh,Kab. Aceh Singkil,0.6331800858206899,0.6980542147851186,0.5126995606010364,0.7687313934694102,0.229007660679028,0.6859989082969432,0.4408602150537634,0.7407043415714181,17,594,kepadatan SPPG rendah relatif terhadap penerima; tekanan harga pangan tinggi; gap cakupan dan dukungan tinggi
9,241900,Nusa Tenggara Timur,Kab. Sumba Barat Daya,0.6318633012906569,0.7055739249565123,0.4949721430540684,0.9301285142200338,0.1385371179039301,0.4617903930131004,0.6904969485614647,0.3603880469168942,9,0,kepadatan SPPG rendah relatif terhadap penerima; gap cakupan dan dukungan tinggi; tekanan sosial-ekonomi tinggi
10,216100,Maluku,Kota Tual,0.6222235353628668,0.7055739249565123,0.4674299546889539,0.8839341056655965,0.1525382096069869,0.5084606986899565,0.5082824760244116,0.3024708753691258,5,0,kepadatan SPPG rendah relatif terhadap penerima; gap cakupan dan dukungan tinggi; kerentanan pangan struktural tinggi
11,242000,Nusa Tenggara Timur,Kab. Manggarai Timur,0.619799230198834,0.7055739249565123,0.460503368506003,0.9028293084260162,0.1205649563318777,0.4018831877729257,0.6280151118860796,0.3603880469168942,8,0,kepadatan SPPG rendah relatif terhadap penerima; gap cakupan dan dukungan tinggi; tekanan sosial-ekonomi tinggi
12,240300,Nusa Tenggara Timur,Kab. Timor Tengah Selatan,0.6182646649842867,0.7055739249565123,0.4561188964644392,0.8696938437072964,0.1201555676855895,0.4005185589519652,0.6567858180761407,0.3603880469168942,15,0,kepadatan SPPG rendah relatif terhadap penerima; gap cakupan dan dukungan tinggi; tekanan sosial-ekonomi tinggi
13,210500,Maluku,Kab. Seram Bagian Barat,0.61747348600545,0.7055739249565123,0.4538583850963346,0.8230469880067538,0.1436135371179039,0.478711790393013,0.5797733217088056,0.3024708753691258,17,0,kepadatan SPPG rendah relatif terhadap penerima; gap cakupan dan dukungan tinggi; tekanan sosial-ekonomi tinggi
14,241400,Nusa Tenggara Timur,Kab. Lembata,0.6151125914386115,0.7055739249565123,0.4471129720482244,0.9065611770403318,0.1075054585152838,0.3583515283842795,0.6210403952339436,0.3603880469168942,4,0,kepadatan SPPG rendah relatif terhadap penerima; gap cakupan dan dukungan tinggi; tekanan sosial-ekonomi tinggi
15,111300,Sumatera Selatan,Kab. Musi Rawas Utara,0.6113973428711166,0.7055739249565123,0.4364979761410961,0.8340487988176826,0.1506140829694323,0.5020469432314412,0.3879686137750653,0.3333233336965224,19,0,kepadatan SPPG rendah relatif terhadap penerima; gap cakupan dan dukungan tinggi; kerentanan pangan struktural tinggi
16,72700,Sumatera Utara,Kab. Nias Barat,0.6097636160137327,0.6980542147851186,0.4457953611525875,0.760449495268914,0.1269923580786026,0.4233078602620088,0.5977913397268235,0.7381077799284579,8,472,kepadatan SPPG rendah relatif terhadap penerima; tekanan harga pangan tinggi; gap cakupan dan dukungan tinggi
17,130900,Kalimantan Barat,Kab. Landak,0.6094618084358991,0.6218499715964763,0.5864552197091129,0.8138979044318978,0.7794623362445415,0.2648744541484717,0.2034292356873001,0.53359299465519,36,54,kebutuhan gizi/karakteristik peserta tinggi; gap cakupan dan dukungan tinggi; kepadatan SPPG rendah relatif terhadap penerima
18,240600,Nusa Tenggara Timur,Kab. Alor,0.608678726483951,0.7055739249565123,0.4287305007491944,0.8149811429842656,0.133296943231441,0.4443231441048035,0.4763150247021214,0.3603880469168942,10,0,kepadatan SPPG rendah relatif terhadap penerima; gap cakupan dan dukungan tinggi; tekanan sosial-ekonomi tinggi
19,210800,Maluku,Kab. Maluku Barat Daya,0.6081259937151059,0.6980542147851186,0.4411164402993679,0.7411433352135537,0.1298105689713154,0.4151200873362445,0.7483289741354257,0.3024708753691258,3,264,kepadatan SPPG rendah relatif terhadap penerima; tekanan sosial-ekonomi tinggi; gap cakupan dan dukungan tinggi
