sample_id,platform,timestamp,year_month,source_type,human_label,weak_label,clean_text,masked_text_excerpt,text_length_tokens,suspicious_term_count,benign_term_count,entity_count,entity_type_count,domain_count,handle_count,payment_count,phone_count,report_channel_score,text_risk_score,gambling_terms,payment_terms,promotion_terms,urgency_terms,contact_terms,benign_terms,cluster_id
demo_0001,image_ocr,2025-01-15,2025-01,platform_export,benign,0,laporan warga meminta verifikasi konten mencurigakan tanpa menyebarkan tautan,laporan warga meminta verifikasi konten mencurigakan tanpa menyebarkan tautan,9,1,1,0,0,0,0,0,0,1.0,0.508333,0,0,0,0,1,1,C001
demo_0002,short_video,2025-04-26,2025-04,manual_report,promotional,1,slot sedang ramai pola malam ini dibagikan di @alpha_reviewoi pembayaran qris-alpha-oi,"slot sedang ramai, pola malam ini dibagikan di [HANDLE], pembayaran [PAYMENT]",11,4,0,2,2,0,1,1,0,0.0,0.827308,2,1,0,1,0,0,C295
demo_0003,image_ocr,2025-03-06,2025-03,public_post,promotional,1,komentar berulang menyebut alphaoi.invalid dengan ajakan daftar vip,komentar berulang menyebut [DOMAIN] dengan ajakan daftar vip,8,2,0,1,1,1,0,0,0,1.0,0.686398,0,0,2,0,0,0,C295
demo_0004,public_report,2026-01-13,2026-01,public_post,benign,0,diskusi sekolah tentang cara menjaga ruang digital produktif,diskusi sekolah tentang cara menjaga ruang digital produktif,8,0,1,0,0,0,0,0,0,1.0,0.475021,0,0,0,0,0,1,C002
demo_0005,forum,2025-07-03,2025-07,public_post,promotional,1,scatter sedang ramai pola malam ini dibagikan di @orion_reviewis pembayaran qris-orion-is,"scatter sedang ramai, pola malam ini dibagikan di [HANDLE], pembayaran [PAYMENT]",11,4,0,2,2,0,1,1,0,1.0,0.845535,2,1,0,1,0,0,C295
demo_0006,image_ocr,2025-03-19,2025-03,ocr_snapshot,promotional,1,akun baru diarahkan ke elangos.invalid lalu chat @elang_reviewos untuk wd harian,akun baru diarahkan ke [DOMAIN] lalu chat [HANDLE] untuk wd harian,11,1,0,2,2,1,1,0,0,1.0,0.660756,0,1,0,0,0,0,C295
demo_0007,comment,2025-08-24,2025-08,ocr_snapshot,promotional,1,ocr tangkapan layar memuat rtp tinggi deposit kecil dan kontak o8xx-xxx-iooi mirror fajaro6.invalid admin @fajar_reviewo6,"ocr tangkapan layar memuat rtp tinggi, deposit kecil, dan kontak [PHONE]mirror [DOMAIN] admin [HANDLE]",15,5,0,3,3,1,1,0,1,0.0,0.838891,1,2,0,0,2,0,C295
demo_0008,short_video,2025-09-30,2025-09,platform_export,promotional,1,ocr tangkapan layar memuat maxwin saldo ewallet dan kontak o8xx-xxx-ioo6,"ocr tangkapan layar memuat maxwin, saldo ewallet, dan kontak [PHONE]",10,4,0,1,1,0,0,0,1,1.0,0.804815,1,2,0,0,1,0,C295
demo_0009,forum,2025-06-11,2025-06,platform_export,promotional,1,akun baru diarahkan ke alphaoi.invalid lalu chat @alpha_reviewoi untuk bonus member baru mirror cendanaoe.invalid admin @cendana_reviewoe,akun baru diarahkan ke [DOMAIN] lalu chat [HANDLE] untuk bonus member baru mirror [DOMAIN] admin [HANDLE],16,4,0,4,2,2,2,0,0,1.0,0.80742,0,1,1,0,2,0,C295
demo_0010,image_ocr,2025-04-10,2025-04,ocr_snapshot,suspicious,1,unggahan edukasi menampilkan contoh tersensor dari pola promosi ilegal,unggahan edukasi menampilkan contoh tersensor dari pola promosi ilegal,9,2,1,0,0,0,0,0,0,0.0,0.614594,1,0,1,0,0,1,C003
