sample_id,entity_type,masked_entity,canonical_hash,cluster_id
demo_0002,handle,handle_91a959b096ff,fc433fb070377546,C295
demo_0002,payment,payment_b93a877656b3,fc7694229ecf4005,C295
demo_0003,domain,domain_b105264a114a,055147514ab335c2,C295
demo_0005,handle,handle_c9429f2524f6,cb6170f5af163089,C295
demo_0005,payment,payment_204bf74f3466,ff9fbdd0259413fb,C295
demo_0006,domain,domain_99613c0930cf,e9a4f6a10d6657ba,C295
demo_0006,handle,handle_437f7456ac86,14ed87768b3b3403,C295
demo_0007,domain,domain_672afcae779d,3389d7e8ab3e52cd,C295
demo_0007,handle,handle_7f0fbfb80438,a9dd2237e4853237,C295
demo_0007,phone,phone_8171264967cc,2b45e7aac27f1c6c,C295
demo_0008,phone,phone_83b54748b13d,1bc336c061d4ff76,C295
demo_0009,domain,domain_b105264a114a,055147514ab335c2,C295
demo_0009,domain,domain_0952fd5f98fe,0578cb591a66585a,C295
demo_0009,handle,handle_91a959b096ff,fc433fb070377546,C295
demo_0009,handle,handle_4b58b3d847dc,ac28896ec830584d,C295
demo_0011,domain,domain_55b951bdd4cb,b829f0e2d2908b32,C295
demo_0011,handle,handle_a311475ea8ae,d50e6577da86db99,C295
demo_0012,domain,domain_99613c0930cf,e9a4f6a10d6657ba,C295
demo_0012,domain,domain_672afcae779d,3389d7e8ab3e52cd,C295
demo_0012,handle,handle_437f7456ac86,14ed87768b3b3403,C295
demo_0012,handle,handle_7f0fbfb80438,a9dd2237e4853237,C295
demo_0012,payment,payment_2a3c5998eae1,73c74821568f6260,C295
demo_0015,handle,handle_91a959b096ff,fc433fb070377546,C295
demo_0020,domain,domain_619b20795373,2b59d4b1cd1b96c4,C295
demo_0020,handle,handle_3d1153eb01a1,0cb2739186218739,C295
demo_0020,phone,phone_2d3ae971d084,467dee676fba0224,C295
demo_0021,handle,handle_e42a964c4546,b1a2cba0056b6f18,C295
demo_0024,domain,domain_9d6ffb90405c,f8d08e620bf27004,C164
demo_0025,domain,domain_99613c0930cf,e9a4f6a10d6657ba,C295
demo_0025,handle,handle_437f7456ac86,14ed87768b3b3403,C295
demo_0025,phone,phone_71772042ff6d,15aba1a5c6b70d91,C295
demo_0026,domain,domain_7c937d9b3efa,02e5b4a3c9760740,C295
demo_0026,handle,handle_152c38dca66b,c4bf8a5911610ba1,C295
demo_0027,handle,handle_ef114051ebae,4906663885289406,C295
demo_0029,domain,domain_88bcbd5f2bd6,847974cae0bcedd7,C295
demo_0031,domain,domain_22314773a043,a43154d94ad6e547,C295
demo_0036,handle,handle_7f0fbfb80438,a9dd2237e4853237,C295
demo_0037,handle,handle_7f0fbfb80438,a9dd2237e4853237,C295
demo_0043,domain,domain_9d6ffb90405c,f8d08e620bf27004,C164
demo_0043,handle,handle_49fd4db7e092,17cd1e9b318d2849,C164
demo_0045,domain,domain_619b20795373,2b59d4b1cd1b96c4,C295
demo_0046,handle,handle_437f7456ac86,14ed87768b3b3403,C295
demo_0047,domain,domain_99613c0930cf,e9a4f6a10d6657ba,C295
demo_0047,handle,handle_437f7456ac86,14ed87768b3b3403,C295
demo_0048,domain,domain_672afcae779d,3389d7e8ab3e52cd,C295
demo_0048,handle,handle_7f0fbfb80438,a9dd2237e4853237,C295
demo_0050,handle,handle_3d1153eb01a1,0cb2739186218739,C295
demo_0051,domain,domain_7d44ced2cb16,919fe1c405412444,C295
demo_0051,handle,handle_f8622e7e1bf8,6f768de2d51e674e,C295
demo_0052,domain,domain_eee1960b80db,ec51eb4b41decc46,C295
demo_0052,handle,handle_71a64d7753e2,6d177b48044d77bf,C295
demo_0053,domain,domain_88bcbd5f2bd6,847974cae0bcedd7,C295
demo_0057,domain,domain_22314773a043,a43154d94ad6e547,C295
demo_0058,handle,handle_ef114051ebae,4906663885289406,C295
