rank,commodity,origin_province,destination_province,priority_score,price_gap_score,origin_surplus_score,destination_deficit_score,destination_model_score,distance_km,top_reasons,review_action,origin_price,destination_price,origin_surplus_ton,destination_surplus_ton,origin_region,destination_region
1,Beras Medium,Sulawesi Selatan,Papua Pegunungan,100.0,0.9586984683380325,0.997083243539672,0.3323515149035236,0.581261565914921,2166.505817925495,"selisih harga Rp12,581/kg; asal surplus proxy 2.31 juta ton; tujuan defisit proxy 0.12 juta ton; perlu kajian logistik lintas wilayah",review first,12919.0,25500.0,2311564.2,-121845.0,Sulawesi,Maluku-Papua
2,Beras Medium,Jawa Timur,Papua Pegunungan,95.54,0.9721862379029186,0.9443950263692544,0.3323515149035236,0.581261565914921,2919.486363222379,"selisih harga Rp12,758/kg; asal surplus proxy 2.14 juta ton; tujuan defisit proxy 0.12 juta ton; perlu kajian logistik lintas wilayah",review first,12742.0,25500.0,2143773.7,-121845.0,Jawa,Maluku-Papua
3,Beras Medium,Jawa Tengah,Papua Pegunungan,91.03,0.9407909776727882,0.8870828620976628,0.3323515149035236,0.581261565914921,3173.2022289909223,"selisih harga Rp12,346/kg; asal surplus proxy 1.97 juta ton; tujuan defisit proxy 0.12 juta ton; perlu kajian logistik lintas wilayah",review first,13154.0,25500.0,1972195.3,-121845.0,Jawa,Maluku-Papua
4,Beras Medium,Jawa Barat,Papua Pegunungan,83.49,0.9542025451497371,0.6878096171913441,0.3323515149035236,0.581261565914921,3482.054208879957,"selisih harga Rp12,522/kg; asal surplus proxy 1.35 juta ton; tujuan defisit proxy 0.12 juta ton; perlu kajian logistik lintas wilayah",review first,12978.0,25500.0,1350069.5,-121845.0,Jawa,Maluku-Papua
5,Beras Medium,Sumatera Selatan,Papua Pegunungan,78.93,1.0,0.5328579413737191,0.3323515149035236,0.581261565914921,3796.203515245448,"selisih harga Rp13,123/kg; asal surplus proxy 0.88 juta ton; tujuan defisit proxy 0.12 juta ton; perlu kajian logistik lintas wilayah",review first,12377.0,25500.0,877865.3,-121845.0,Sumatra,Maluku-Papua
6,Beras Medium,Nusa Tenggara Barat,Papua Pegunungan,76.72,0.9355330336051207,0.3988510000601896,0.3323515149035236,0.581261565914921,2570.903328406608,"selisih harga Rp12,277/kg; asal surplus proxy 0.46 juta ton; tujuan defisit proxy 0.12 juta ton; perlu kajian logistik lintas wilayah",review first,13223.0,25500.0,461050.5,-121845.0,Bali-Nusa,Maluku-Papua
7,Beras Medium,Gorontalo,Papua Pegunungan,75.28,0.9315705250323859,0.2690205710637521,0.3323515149035236,0.581261565914921,1839.387473124724,"selisih harga Rp12,225/kg; asal surplus proxy 0.06 juta ton; tujuan defisit proxy 0.12 juta ton; perlu kajian logistik lintas wilayah",review first,13275.0,25500.0,60899.4,-121845.0,Sulawesi,Maluku-Papua
8,Beras Medium,Papua Selatan,Papua Pegunungan,75.16,0.7947877771850949,0.2812746270170229,0.3323515149035236,0.581261565914921,513.7671035579096,"selisih harga Rp10,430/kg; asal surplus proxy 0.16 juta ton; tujuan defisit proxy 0.12 juta ton; jarak relatif dekat",review first,15070.0,25500.0,156135.8,-121845.0,Maluku-Papua,Maluku-Papua
9,Beras Medium,Lampung,Papua Pegunungan,74.91,0.9440676674540882,0.4826253642615985,0.3323515149035236,0.581261565914921,3734.5910191410408,"selisih harga Rp12,389/kg; asal surplus proxy 0.72 juta ton; tujuan defisit proxy 0.12 juta ton; perlu kajian logistik lintas wilayah",review first,13111.0,25500.0,724813.4,-121845.0,Sumatra,Maluku-Papua
10,Beras Medium,Sulawesi Tengah,Papua Pegunungan,74.61,0.892326449744723,0.3419196181380747,0.3323515149035236,0.581261565914921,2148.9469299062957,"selisih harga Rp11,710/kg; asal surplus proxy 0.30 juta ton; tujuan defisit proxy 0.12 juta ton; perlu kajian logistik lintas wilayah",review first,13790.0,25500.0,297374.7,-121845.0,Sulawesi,Maluku-Papua
11,Beras Medium,Kalimantan Selatan,Papua Pegunungan,74.15,0.942162615255658,0.3318315692012287,0.3323515149035236,0.581261565914921,2704.3150573765056,"selisih harga Rp12,364/kg; asal surplus proxy 0.27 juta ton; tujuan defisit proxy 0.12 juta ton; perlu kajian logistik lintas wilayah",review if capacity allows,13136.0,25500.0,265584.8,-121845.0,Kalimantan,Maluku-Papua
12,Beras Medium,Sulawesi Tenggara,Papua Pegunungan,73.46,0.8762478091899718,0.288325437421205,0.3323515149035236,0.581261565914921,1823.500209777135,"selisih harga Rp11,499/kg; asal surplus proxy 0.13 juta ton; tujuan defisit proxy 0.12 juta ton; perlu kajian logistik lintas wilayah",review if capacity allows,14001.0,25500.0,132556.0,-121845.0,Sulawesi,Maluku-Papua
13,Beras Medium,Sulawesi Barat,Papua Pegunungan,72.94,0.9168635220605045,0.2705625321672542,0.3323515149035236,0.581261565914921,2232.1607206690305,"selisih harga Rp12,032/kg; asal surplus proxy 0.08 juta ton; tujuan defisit proxy 0.12 juta ton; perlu kajian logistik lintas wilayah",review if capacity allows,13468.0,25500.0,78155.0,-121845.0,Sulawesi,Maluku-Papua
14,Beras Medium,Bali,Papua Pegunungan,69.77,0.8784576697401508,0.2854053918363151,0.3323515149035236,0.581261565914921,2669.764430615229,"selisih harga Rp11,528/kg; asal surplus proxy 0.12 juta ton; tujuan defisit proxy 0.12 juta ton; perlu kajian logistik lintas wilayah",review if capacity allows,13972.0,25500.0,120151.09999999998,-121845.0,Bali-Nusa,Maluku-Papua
15,Beras Medium,Sumatera Utara,Papua Pegunungan,68.99,0.8746475653432904,0.5079618854275184,0.3323515149035236,0.581261565914921,4556.447711514983,"selisih harga Rp11,478/kg; asal surplus proxy 0.81 juta ton; tujuan defisit proxy 0.12 juta ton; perlu kajian logistik lintas wilayah",review if capacity allows,14022.0,25500.0,813624.3,-121845.0,Sumatra,Maluku-Papua
16,Beras Medium,Jawa Timur,DKI Jakarta,66.91,0.01333536538901166,0.9443950263692544,0.629516968340428,0.31089021247728055,661.6998067221496,selisih harga Rp175/kg; asal surplus proxy 2.14 juta ton; tujuan defisit proxy 0.87 juta ton; jarak relatif dekat,review if capacity allows,12742.0,12917.0,2143773.7,-867536.4,Jawa,Jawa
17,Beras Medium,Jawa Tengah,DKI Jakarta,65.46,0.0,0.8870828620976628,0.629516968340428,0.31089021247728055,403.7566804003896,selisih harga Rp-237/kg; asal surplus proxy 1.97 juta ton; tujuan defisit proxy 0.87 juta ton; jarak relatif dekat,review if capacity allows,13154.0,12917.0,1972195.3,-867536.4,Jawa,Jawa
18,Beras Medium,Sulawesi Selatan,DKI Jakarta,64.9,0.0,0.997083243539672,0.629516968340428,0.31089021247728055,1396.8977064259916,selisih harga Rp-2/kg; asal surplus proxy 2.31 juta ton; tujuan defisit proxy 0.87 juta ton; perlu kajian logistik lintas wilayah,review if capacity allows,12919.0,12917.0,2311564.2,-867536.4,Sulawesi,Jawa
19,Beras Medium,Aceh,Papua Pegunungan,64.58,0.9157966928293835,0.3750789476478248,0.3323515149035236,0.581261565914921,4962.6228104354295,"selisih harga Rp12,018/kg; asal surplus proxy 0.41 juta ton; tujuan defisit proxy 0.12 juta ton; perlu kajian logistik lintas wilayah",review if capacity allows,13482.0,25500.0,405112.0,-121845.0,Sumatra,Maluku-Papua
20,Beras Medium,Jawa Barat,DKI Jakarta,59.9,0.0,0.6878096171913441,0.629516968340428,0.31089021247728055,114.48509510963166,selisih harga Rp-61/kg; asal surplus proxy 1.35 juta ton; tujuan defisit proxy 0.87 juta ton; jarak relatif dekat,review if capacity allows,12978.0,12917.0,1350069.5,-867536.4,Jawa,Jawa
21,Beras Medium,Sumatera Barat,Papua Pegunungan,59.85,0.7864055475120019,0.326940641267158,0.3323515149035236,0.581261565914921,4301.528930711856,"selisih harga Rp10,320/kg; asal surplus proxy 0.30 juta ton; tujuan defisit proxy 0.12 juta ton; perlu kajian logistik lintas wilayah",review if capacity allows,15180.0,25500.0,295616.8,-121845.0,Sumatra,Maluku-Papua
22,Beras Medium,Sulawesi Selatan,Kalimantan Timur,58.81,0.2139754629276842,0.997083243539672,0.1985564887138308,0.22078364783007545,575.6998909040022,"selisih harga Rp2,808/kg; asal surplus proxy 2.31 juta ton; tujuan defisit proxy 0.22 juta ton; jarak relatif dekat",review if capacity allows,12919.0,15727.0,2311564.2,-218981.5,Sulawesi,Kalimantan
