province_code,province,region,lat,lon,date,year_month,commodity,price,price_source,price_14d_change,national_median_price,national_median_gap,price_zscore_past6,production_ton_year,population,rice_consumption_kg_capita_year,need_ton_year,surplus_proxy_ton,anomaly_score,deficit_score,surplus_score,monitoring_priority_proxy,priority_label,price_gap_score,change_score,balance_deficit_score,balance_surplus_score,future_priority,future_label,_rf_prediction,_rf_prediction_norm,model_priority_score,isolation_anomaly_score,rank,top_reasons,cluster_id,pca_x,pca_y,cluster_label
97,Papua Pegunungan,Maluku-Papua,-4.1,138.95,2025-05-01,2025-05,Beras Medium,25500.0,Bapanas monthly consumer price,0.0991379310344826,13908.0,0.8334771354616048,0.9310377719592532,0.0,1500000.0,81.23,121845.0,-121845.0,0.1018190881208692,0.3323515149035236,0.089818091187913,0.4184188415485014,1,1.0,0.21629307523613528,0.1404494382022472,0.0,0.3495578571396675,1,0.344870920567305,1.0,0.581261565914921,1.0,1,harga di atas median nasional; kenaikan harga bulanan positif; proxy neraca beras defisit,1,9.128606780222054,1.9519444337069267,Transisi/moderat
31,DKI Jakarta,Jawa,-6.21,106.85,2025-05-01,2025-05,Beras Medium,12917.0,Bapanas monthly consumer price,-0.0030101883297314,13908.0,-0.0712539545585274,-2.2618275802755776,0.0,10680000.0,81.23,867536.4,-867536.4,0.0634464556028534,0.629516968340428,0.2436553544397146,0.2047167044028417,1,0.0,0.0,1.0,0.0,0.1979219815918871,1,0.205991919736756,0.5839078046686947,0.31089021247728055,0.1935403957456063,2,proxy neraca beras defisit,0,1.0611109332364805,-3.5408596808841826,Transisi/moderat
64,Kalimantan Timur,Kalimantan,-0.5,117.15,2025-05-01,2025-05,Beras Medium,15727.0,Bapanas monthly consumer price,0.0012095747389864,13908.0,0.1307880356629278,1.38503335435681,110000.0,4050000.0,81.23,328981.5,-218981.5,0.0397751695176796,0.1985564887138308,0.222484698369143,0.1092681753643877,1,0.15691856452726016,0.0026389761950177813,0.25241765071759525,0.0,0.129167811034657,1,0.180501893278316,0.5075377198847011,0.22078364783007545,0.19871515207645174,3,harga di atas median nasional; proxy neraca beras defisit,0,0.8773071092162,-0.7907122331831136,Transisi/moderat
96,Papua Tengah,Maluku-Papua,-3.36,135.5,2025-05-01,2025-05,Beras Medium,16621.0,Bapanas monthly consumer price,0.0588647512263489,13908.0,0.1950675870002876,2.0171560478835904,20000.0,1400000.0,81.23,113722.0,-93722.0,0.1015328120447025,0.1360393467429249,0.2047406111350742,0.1503906893486294,1,0.2340407177363699,0.12842751440241934,0.10803235460782971,0.0,0.3193366103861843,1,0.13125528881433635,0.3599910955463557,0.2090788030839928,0.557036592221282,4,harga di atas median nasional; kenaikan harga bulanan positif; proxy neraca beras defisit,0,3.3732143381109694,0.31252447331473865,Transisi/moderat
14,Riau,Sumatra,0.51,101.45,2025-05-01,2025-05,Beras Medium,14379.0,Bapanas monthly consumer price,0.0073560319461958,13908.0,0.0338654012079377,1.5255324041876672,140000.0,6730000.0,81.23,546677.9,-406677.9,0.0484097915841729,0.3072461520480734,0.2390643003446882,0.11764394913497,1,0.04063146997929585,0.016048940648403624,0.46877329873420875,0.0,0.1259152415974644,1,0.10966645926708707,0.295309297526303,0.16739024668454325,0.08816758446100746,5,proxy neraca beras defisit,0,0.7534382217747029,-1.5510858751981158,Transisi/moderat
91,Papua Barat,Maluku-Papua,-0.86,134.06,2025-05-01,2025-05,Beras Medium,17273.0,Bapanas monthly consumer price,0.000811170983255,13908.0,0.241947080816796,1.0061281633042332,20000.0,580000.0,81.23,47113.4,-27113.4,0.0288422871725227,0.0904692796939242,0.2035728106202218,0.1072769094544781,1,0.2902864044168391,0.0017697632448020074,0.03125332839060125,0.0,0.0988317255642571,1,0.11371712131229468,0.3074453933568894,0.16332408494715328,0.45335238474887607,6,harga di atas median nasional; proxy neraca beras defisit,0,1.2018884433960795,0.11212549465132775,Transisi/moderat
94,Papua,Maluku-Papua,-2.59,140.67,2025-05-01,2025-05,Beras Medium,16082.0,Bapanas monthly consumer price,0.0123379075915901,13908.0,0.1563129134311187,1.6115197778897283,100000.0,1100000.0,81.23,89353.0,10647.0,0.0546260238156433,0.0513288242072671,0.2198604066451737,0.0813245549687587,1,0.187543133195307,0.026918092269204975,0.0,0.004605972008045461,0.0634672284055048,0,0.10351817551479606,0.27688856531544864,0.13608247786583189,0.25780369748165455,7,harga di atas median nasional,0,1.1511205117570913,0.10524559757049395,Transisi/moderat
81,Maluku,Maluku-Papua,-3.7,128.18,2025-05-01,2025-05,Beras Medium,15348.0,Bapanas monthly consumer price,0.0094711917916336,13908.0,0.1035375323554788,2.0118852314438325,60000.0,1910000.0,81.23,155149.3,-95149.3,0.063667613961621,0.1061216753298679,0.2249996982311671,0.0829420401201634,1,0.12422360248447198,0.02066366704839882,0.10967758816805842,0.0,0.1009998770454545,1,0.09594376559655911,0.25419504914403074,0.13089288264684626,0.188054146702458,8,harga di atas median nasional; proxy neraca beras defisit,0,0.9923359579893034,-0.4178136526912157,Transisi/moderat
82,Maluku Utara,Maluku-Papua,0.79,127.38,2025-05-01,2025-05,Beras Medium,15779.0,Bapanas monthly consumer price,-0.007672473429344,13908.0,0.1345268909979868,0.2190133436073348,20000.0,1430000.0,81.23,116158.9,-96158.9,0.0061435365377949,0.1067661792442474,0.2251749838203405,0.0739168421175228,1,0.16140441683919945,0.0,0.11084134337187465,0.0,0.1145179952139186,1,0.09401251648729977,0.24840887789569482,0.12277461213541097,0.21529427761619782,9,harga di atas median nasional; proxy neraca beras defisit,3,-0.0010963894317401605,-0.3159571645960796,Transisi/moderat
95,Papua Selatan,Maluku-Papua,-8.49,140.4,2025-05-01,2025-05,Beras Medium,15070.0,Bapanas monthly consumer price,0.0321917808219178,13908.0,0.0835490365257405,0.6738045734449675,200000.0,540000.0,81.23,43864.2,156135.8,0.0434827918385741,0.0295779743313416,0.2812746270170229,0.0588512884797947,0,0.10024154589371971,0.07023405873659387,0.0,0.06754551744658442,0.0520319452115487,0,0.10013639064845886,0.2667564770893149,0.11706474129046035,0.2525491999894012,10,harga di atas median nasional; kenaikan harga bulanan positif,0,0.850456494291062,0.5020040696970358,Transisi/moderat
