feature,importance,std
deficit_score,0.8076083342658701,0.029617554545110433
price_gap_score,0.15629467145760534,0.02296416050345791
national_median_gap,0.04793021801815865,0.003638339808906064
lon,0.03216614448422253,0.005677875646669923
price,0.01581147242603248,0.0021854562061649303
surplus_score,0.013334169518124217,0.003534035210731301
price_zscore_past6,0.004712937871745676,0.0011085216450587407
balance_deficit_score,0.0022857663340231926,0.0006682340947998562
surplus_proxy_ton,0.0019490305587560874,0.0006885148476221567
change_score,0.0008332889579466263,0.0011649101861381426
production_ton_year,0.0007451071293451961,0.0006025702659008843
need_ton_year,0.0005119462886385845,0.0007670213968578867
price_14d_change,0.00047585504767458375,0.0017939065067237108
region,0.000407468299667077,0.0008827893735046153
balance_surplus_score,0.00019084676554623203,9.304621201324353e-05
lat,-0.00029413866615242423,0.0011812461097390568
anomaly_score,-0.0013735586613054657,0.0005698482431488555
